Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,brand,CHANEL COCO MADEMOISELLE Eau de Parfum Spray 100ml,https://www.boots.com/fragrance/perfume/all-perfume/chanel-coco-mademoiselle-eau-de-parfum-spray-100ml-10012569,115.60,10012569,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
2,brand,DIOR Miss Dior Eau de Parfum 50ml,https://www.boots.com/dior-miss-dior-eau-de-parfum-50ml-10300555,82.00,10300555,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
3,brand,YSL Black Opium Eau de Parfum Extreme 50ml,https://www.boots.com/ysl-black-opium-eau-de-parfum-extreme-50ml-10297390,48.50,10297390,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
4,brand,CHANEL CHANCE EAU FRAICHE Eau de Toilette Spray 50ml,https://www.boots.com/chanel-chance-eau-fraiche-eau-de-toilette-spray-50ml-10064624,69.00,10064624,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
5,brand,Marc Jacobs Dot Eau de Parfum 50ml,https://www.boots.com/marc-jacobs-dot-eau-de-parfum-50ml-10142207,35.00,10142207,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
6,brand,CHANEL COCO MADEMOISELLE EAU DE PARFUM INTENSE SPRAY 100ml,https://www.boots.com/chanel-coco-mademoiselle-eau-de-parfum-intense-spray-100ml-10243535,125.00,10243535,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
7,brand,DIOR J'adore Eau de Parfum Spray 100ml,https://www.boots.com/beauty/luxury-beauty-skincare/luxury-beauty-offers/dior-jadore-eau-de-parfum-spray-100ml-10011441,116.45,10011441,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
8,brand,Jimmy Choo Blossom Eau de Parfum 60ml,https://www.boots.com/jimmy-choo-blossom-eau-de-parfum-60ml-10189882,29.00,10189882,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
9,brand,CHANEL CHANCE EAU TENDRE Eau de Toilette 50ml,https://www.boots.com/chanel-chance-eau-tendre-eau-de-toilette-50ml-10102243,69.00,10102243,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
10,brand,DIOR Miss Dior Eau de Parfum 100ml,https://www.boots.com/dior-miss-dior-eau-de-parfum-100ml-10300556,116.45,10300556,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
11,brand,Jean Paul Gaultier Classique Pride Eau de Toilette 100ml,https://www.boots.com/jean-paul-gaultier-classique-pride-eau-de-toilette-100ml-10333288,62.50,10333288,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
12,brand,CHANEL COCO Eau de Parfum Spray 100ml,https://www.boots.com/chanel-coco-eau-de-parfum-spray-100ml-10012553,121.00,10012553,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
13,brand,Lancôme La Vie Est Belle Eau de Parfum 50ml,https://www.boots.com/gift/her/lancome-la-vie-est-belle-eau-de-parfum-50ml-10145849,77.00,10145849,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
14,brand,DIOR Miss Dior Eau de Parfum 30ml,https://www.boots.com/dior-miss-dior-eau-de-parfum-30ml-10300554,57.80,10300554,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
15,brand,DIOR J'adore L'Or Essence de Parfum 50ml,https://www.boots.com/dior-jadore-lor-essence-de-parfum-50ml-10333154,122.40,10333154,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
16,brand,DIOR Miss Dior Rose N'Roses Eau de Toilette 50ml,https://www.boots.com/miss-dior-rose-n-roses-eau-de-toilette-50ml-10273567,67.00,10273567,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
17,brand,JOY BY DIOR Eau de Parfum 90ml,https://www.boots.com/joy-by-dior-eau-de-parfum-90ml-10254747,122.00,10254747,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
18,brand,Givenchy L'Interdit Eau de Parfum 50ml,https://www.boots.com/givenchy-linterdit-eau-de-parfum-50ml-10255426,71.00,10255426,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
19,brand,Giorgio Armani Sì Eau de Parfum 50ml,https://www.boots.com/giorgio-armani-si-eau-de-parfum-50ml-10162578,77.00,10162578,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
20,brand,YSL Black Opium Eau de Parfum 50ml,https://www.boots.com/gift/her/yves-saint-laurent-black-opium-eau-de-parfum-50ml-10180311,77.00,10180311,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
21,brand,Paco Rabanne Olympéa For Women Eau De Parfum 50ml,https://www.boots.com/paco-rabanne-olympea-eau-de-parfum-50ml-10200020,63.00,10200020,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
22,brand,Dior Miss Dior Eau de Parfum 100ml - Limited Edition Case,https://www.boots.com/fragrance/perfume/all-perfume/dior-miss-dior-eau-de-parfum-100ml-limited-edition-case-10336705,137.00,10336705,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
23,brand,Dior J'adore Eau de Parfum 100ml - Limited Edition Case,https://www.boots.com/fragrance/perfume/all-perfume/dior-jadore-eau-de-parfum-100ml-limited-edition-case-10336703,137.00,10336703,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
24,brand,Gucci Flora Gorgeous Gardenia Eau de Parfum 50ml,https://www.boots.com/fragrance/perfume/all-perfume/gucci-flora-gorgeous-gardenia-eau-de-parfum-50ml-10299778,72.80,10299778,2023-10-30,N/A,Fragrance,Womens Fragrance,Boots,https://www.boots.com/fragrance/perfume/all-perfume
