Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,HERMÈS,Twilly d’Hermès eau de parfum for women,https://www.notino.co.uk/hermes/twilly-dhermes-eau-de-parfum-for-women/,47.50,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,Chloé,Chloé eau de parfum for women,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,20.30,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Lancôme,La Vie Est Belle eau de parfum refillable for women,https://www.notino.co.uk/lancome/la-vie-est-belle-eau-de-parfum-for-women/,49.50,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,Yves Saint Laurent,Black Opium eau de parfum for women,https://www.notino.co.uk/yves-saint-laurent/black-opium-eau-de-parfum-for-women/,48.50,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Marc Jacobs,Daisy eau de toilette for women,https://www.notino.co.uk/marc-jacobs/daisy-eau-de-toilette-for-women/,41.10,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Gucci,Intense Oud eau de parfum unisex 90 ml,https://www.notino.co.uk/gucci/intense-oud-eau-de-parfum-unisex/,83.70,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Burberry,London for Women eau de parfum for women,https://www.notino.co.uk/burberry/london-for-women2006-eau-de-parfum-for-women/,18.00,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Burberry,Weekend for Women eau de parfum for women,https://www.notino.co.uk/burberry/weekend-for-women-eau-de-parfum-for-women/,20.30,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Coty,Exclamation eau de cologne for women 50 ml,https://www.notino.co.uk/coty/exclamation-eau-de-cologne-for-women/,7.10,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,Calvin Klein,CK One eau de toilette unisex,https://www.notino.co.uk/calvin-klein/ck-one-eau-de-toilette-unisex/,20.10,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
11,Gucci,Flora Gorgeous Gardenia eau de parfum for women,https://www.notino.co.uk/gucci/flora-gorgeous-gardenia-eau-de-parfum-for-women/,21.60,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
12,Mancera,Roses Vanille eau de parfum for women,https://www.notino.co.uk/mancera/roses-vanille-eau-de-parfum-for-women/,79.00,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
13,GUERLAIN,Insolence eau de parfum for women 75 ml,https://www.notino.co.uk/guerlain/insolence-eau-de-parfum-for-women/,73.70,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
14,Calvin Klein,Eternity eau de parfum for women,https://www.notino.co.uk/calvin-klein/eternity-eau-de-parfum-for-women/,34.00,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
15,GUERLAIN,Samsara Eau de Toilette for Women 75 ml,https://www.notino.co.uk/guerlain/samsara-eau-de-toilette-for-women/,64.20,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
16,Montale,Intense Cafe eau de parfum unisex,https://www.notino.co.uk/montale/intense-cafe-eau-de-parfum-unisex/,77.90,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
17,Mancera,Cedrat Boise eau de parfum unisex,https://www.notino.co.uk/mancera/cedrat-boise-eau-de-parfum-unisex/,61.70,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
18,Prêt à Porter,Prêt à Porter eau de toilette in a box for women 50 ml,https://www.notino.co.uk/pret-a-porter/pret-a-porter-eau-de-toilette-in-box-for-women/,3.10,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
19,Jean Paul Gaultier,La Belle Le Parfum eau de parfum for women,https://www.notino.co.uk/jean-paul-gaultier/la-belle-le-parfum-eau-de-parfum-for-women/,45.90,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
20,Calvin Klein,Euphoria eau de parfum for women,https://www.notino.co.uk/calvin-klein/euphoria-eau-de-parfum-for-women/,23.50,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
21,Burberry,Her eau de parfum for women,https://www.notino.co.uk/burberry/her-eau-de-parfum-for-women/,41.00,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
22,Burberry,My Burberry Black eau de parfum for women,https://www.notino.co.uk/burberry/my-burberry-black-eau-de-parfum-for-women/,53.50,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
23,Calvin Klein,Eternity Moment eau de parfum for women,https://www.notino.co.uk/calvin-klein/eternity-moment-eau-de-parfum-for-women/,22.00,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
24,Gucci,Rush eau de toilette for women,https://www.notino.co.uk/gucci/rush-eau-de-toilette-for-women/,39.90,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
25,Bottega Veneta,Bottega Veneta eau de parfum for women,https://www.notino.co.uk/bottega-veneta/veneta-eau-de-parfum-for-women/,53.30,N/A,2023-10-28,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
