Product_Category,Product_Subcategory,Product_Brand,Product_Name,Product_Price,Size,Stock_Status,Product_Availability,Sku_Id,Brand_Status,Date,Retailer
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,91.3,50 ml,In Stock,In Stock,16086004,Dior,2023-10-27,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70.2,50 ml,In Stock,In Stock,451793,Competitor,2023-10-27,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,70.1,50 ml,In Stock,In Stock,16125478,Competitor,2023-10-27,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,72.2,50 ml,In Stock,In Stock,16014084,Competitor,2023-10-27,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,83.5,50 ml,In Stock,In Stock,16143146,Competitor,2023-10-27,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,91.3,50 ml,In Stock,In Stock,16086004,Dior,2023-10-28,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70.2,50 ml,In Stock,In Stock,451793,Competitor,2023-10-28,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,70.1,50 ml,In Stock,In Stock,16125478,Competitor,2023-10-28,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,72.2,50 ml,In Stock,In Stock,16014084,Competitor,2023-10-28,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,83.5,50 ml,In Stock,In Stock,16143146,Competitor,2023-10-28,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,91.3,50 ml,In Stock,In Stock,16086004,Dior,2023-10-29,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70.2,50 ml,In Stock,In Stock,451793,Competitor,2023-10-29,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,70.1,50 ml,In Stock,In Stock,16125478,Competitor,2023-10-29,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,72.2,50 ml,In Stock,In Stock,16014084,Competitor,2023-10-29,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,83.5,50 ml,In Stock,In Stock,16143146,Competitor,2023-10-29,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,91.3,50 ml,In Stock,In Stock,16086004,Dior,2023-10-30,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70.2,50 ml,In Stock,In Stock,451793,Competitor,2023-10-30,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,70.1,50 ml,In Stock,In Stock,16125478,Competitor,2023-10-30,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,72.2,50 ml,In Stock,In Stock,16014084,Competitor,2023-10-30,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,83.5,50 ml,In Stock,In Stock,16143146,Competitor,2023-10-30,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,92.7,50 ml,In Stock,In Stock,16086004,Dior,2023-10-31,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70.2,50 ml,In Stock,In Stock,451793,Competitor,2023-10-31,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,70.1,50 ml,In Stock,In Stock,16125478,Competitor,2023-10-31,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,72.2,50 ml,In Stock,In Stock,16014084,Competitor,2023-10-31,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,83.5,50 ml,In Stock,In Stock,16143146,Competitor,2023-10-31,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-11,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,58.8,50 ml,In stock,In Stock,451793,Competitor,2023-11-11,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,84.3,50 ml,In stock,In Stock,16125478,Competitor,2023-11-11,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-11,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,76.2,50 ml,In stock,In Stock,16143146,Competitor,2023-11-11,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,93.9,50 ml,In stock,In Stock,16086004,Dior,2023-11-12,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,58.8,50 ml,In stock,In Stock,451793,Competitor,2023-11-12,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,84.3,50 ml,In stock,In Stock,16125478,Competitor,2023-11-12,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.1,50 ml,In stock,In Stock,16014084,Competitor,2023-11-12,Notino
