Position,Brand,Product_Name,Product_Page_Url,Price,Product_SKU_ID,Date,Sponsored,Product_Category,Product_Subcategory,Retailer,Input_Url
1,Chloé,Chloé eau de parfum for women,https://www.notino.co.uk/chloe/chloe-eau-de-parfum-for-women/,20.3,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
2,Marc Jacobs,Daisy Ever So Fresh eau de parfum for women 75 ml,https://www.notino.co.uk/marc-jacobs/daisy-ever-so-fresh-eau-de-parfum-for-women/,58.6,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
3,Mugler,Alien eau de parfum refillable for women,https://www.notino.co.uk/thierry-mugler/alien-eau-de-parfum-for-women-refillable/,18.8,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
4,lancome,La Vie Est Belle eau de parfum refillable for women,https://www.notino.co.uk/lancome/la-vie-est-belle-eau-de-parfum-for-women/,49.5,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
5,Montale,Intense Cafe eau de parfum unisex,https://www.notino.co.uk/montale/intense-cafe-eau-de-parfum-unisex/,77.9,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
6,Burberry,Her eau de parfum for women,https://www.notino.co.uk/burberry/her-eau-de-parfum-for-women/,41,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
7,Gucci,Intense Oud eau de parfum unisex 90 ml,https://www.notino.co.uk/gucci/intense-oud-eau-de-parfum-unisex/,83.7,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
8,Calvin Klein,Euphoria eau de parfum for women,https://www.notino.co.uk/calvin-klein/euphoria-eau-de-parfum-for-women/,23.5,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
9,Mancera,Cedrat Boise eau de parfum unisex,https://www.notino.co.uk/mancera/cedrat-boise-eau-de-parfum-unisex/,61.7,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
10,yves saint laurent,Black Opium eau de parfum for women,https://www.notino.co.uk/yves-saint-laurent/black-opium-eau-de-parfum-for-women/,48.5,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
11,Lattafa,Khamrah eau de parfum unisex 100 ml,https://www.notino.co.uk/lattafa/khamrah-eau-de-parfum-unisex/,35.5,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
12,Paco Rabanne,Fame eau de parfum refillable for women,https://www.notino.co.uk/paco-rabanne/fame-eau-de-parfum-for-women/,40.1,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
13,Gucci,Flora Gorgeous Gardenia eau de parfum for women,https://www.notino.co.uk/gucci/flora-gorgeous-gardenia-eau-de-parfum-for-women/,21.6,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
14,Carolina Herrera,Good Girl eau de parfum for women,https://www.notino.co.uk/carolina-herrera/good-girl-eau-de-parfum-for-women/,19.2,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
15,Paco Rabanne,Lady Million eau de parfum for women,https://www.notino.co.uk/paco-rabanne/lady-million-eau-de-parfum-for-women/,17.2,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
16,Paco Rabanne,Olympéa eau de parfum for women,https://www.notino.co.uk/paco-rabanne/olympea-eau-de-parfum-for-women/,25,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
17,Burberry,London for Women eau de parfum for women,https://www.notino.co.uk/burberry/london-for-women2006-eau-de-parfum-for-women/,18,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
18,Chloé,Nomade eau de parfum for women,https://www.notino.co.uk/chloe/nomade-eau-de-parfum-for-women/,29.8,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
19,yves saint laurent,Libre eau de parfum for women,https://www.notino.co.uk/yves-saint-laurent/yves-saint-laurent-libre-eau-de-parfum-for-women/,55.1,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
20,Burberry,Burberry for Women eau de parfum for women,https://www.notino.co.uk/burberry/london-for-women1995-eau-de-parfum-for-women/,18.2,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
21,Marc Jacobs,Perfect eau de parfum for women,https://www.notino.co.uk/marc-jacobs/perfect-eau-de-parfum-for-women/,51.6,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
22,Zadig & Voltaire,This is Her! eau de parfum for women,https://www.notino.co.uk/zadig-voltaire/this-is-her-eau-de-parfum-for-women/,35,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
23,Calvin Klein,Eternity eau de parfum for women,https://www.notino.co.uk/calvin-klein/eternity-eau-de-parfum-for-women/,34,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
24,Al Haramain,Amber Oud Gold Edition eau de parfum unisex 60 ml,https://www.notino.co.uk/al-haramain/amber-oud-gold-edition-eau-de-parfum-unisex/,46.5,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
25,GUERLAIN,Insolence eau de parfum for women 75 ml,https://www.notino.co.uk/guerlain/insolence-eau-de-parfum-for-women/,73.7,N/A,2023-10-27,N/A,Fragrance,Womens Fragrance,Notino,https://www.notino.co.uk/womens-perfume/
