Position,Product_Name,Rating,Reviews,Price,Prod_SKU_ID,Date
1,Giorgio Armani My Way Eau de Parfum 50ml Refillable,4.7,21710,92.00,10279632,2023-08-19
2,DIOR Miss Dior Blooming Bouquet Eau de Toilette 100ml,3.64,14,117.00,10322786,2023-08-19
3,YSL Black Opium Neon Eau de Parfum 75ml,4.74,404,63.00,10275718,2023-08-19
4,Lancôme La Vie Est Belle Intensément Eau de Parfum 50ml,4.69,1355,97.00,10274773,2023-08-19
5,Emporio Armani Diamonds Eau de Parfum 100ml,4.74,340,40.00,10070844,2023-08-19
6,Lancôme La Vie Est Belle Eau De Parfum 100ml,4.73,9323,125.00,10169204,2023-08-19
7,DIOR J'adore Parfum d'Eau 100ml,4.51,87,137.00,10305619,2023-08-19
8,Viktor & Rolf Flowerbomb Eau de Parfum 100ml,4.77,13889,125.00,10082749,2023-08-19
9,Michael Kors Sexy Amber Eau de Parfum 100ml,5.0,2,39.00,10181920,2023-08-19
10,TOM FORD Black Orchid Eau de Parfum Spray 100ml,4.29,951,125.00,10099324,2023-08-19
11,Lancôme La Vie Est Belle Eau de Parfum 50ml,4.73,9375,92.00,10145849,2023-08-19
12,Giorgio Armani Sì Eau de Parfum 100ml,4.68,1960,125.00,10162579,2023-08-19
13,Valentino Donna Born In Roma Eau de Parfum 100ml,4.74,1011,125.00,10269820,2023-08-19
14,Hugo Boss BOSS Ma Vie for Her Eau de Parfum 50ml,4.64,185,69.00,10179078,2023-08-19
15,DIOR J'adore Eau de Parfum Spray 100ml,5.0,3,122.00,10011441,2023-08-19
16,Versace Woman Eau de Parfum 50ml,4.54,390,24.00,10084774,2023-08-19
17,Prada Paradoxe Eau de Parfum 100ml Refill,4.76,5432,100.00,10317219,2023-08-19
18,BRITNEY SPEARS™ 50ml Fantasy & Midnight Set Combo,4.78,18,64.00,10318897,2023-08-19
19,DIOR Miss Dior Eau de Parfum 50ml,4.75,9431,97.00,10300555,2023-08-19
20,Mugler Alien Goddess Supra Florale Eau De Parfum 60ml,4.78,830,92.00,10328977,2023-08-19
21,Lancôme Idôle Refillable Eau de Parfum 50ml,4.64,18634,87.00,10266225,2023-08-19
22,YSL Elle Eau de Parfum 90ml,4.86,65,73.33,10070823,2023-08-19
23,Valentino Donna Born In Roma Eau de Parfum 50ml,4.74,1017,92.00,10269819,2023-08-19
24,DIOR Miss Dior Eau de Parfum 100ml,4.67,511,137.00,10300556,2023-08-19
