filename,width,height,class,xmin,ymin,xmax,ymax
24.png,302,555,armani_my_way_floral,7,10,294,547
armani_my_way_floral.png,407,785,armani_my_way_floral,1,11,402,781
armani_my_way_floral_15.png,123,180,armani_my_way_floral,15,1,113,172
armani_my_way_floral_16.png,417,647,armani_my_way_floral,7,1,407,640
armani_my_way_floral_3.png,287,548,armani_my_way_floral,3,21,285,547
armani_my_way_floral_4.png,503,947,armani_my_way_floral,2,6,497,945
armani_my_way_floral_7.png,262,450,armani_my_way_floral,10,7,253,446
Armani_Screenshot 2023-12-15 230442 (102).png,176,307,armani_my_way_floral,11,28,157,283
Armani_Screenshot 2023-12-15 230442 (105).png,260,335,armani_my_way_floral,67,42,219,312
Armani_Screenshot 2023-12-15 230442 (23).png,115,172,armani_my_way_floral,13,5,104,164
Armani_Screenshot 2023-12-15 230442 (24).png,81,152,armani_my_way_floral,2,3,79,146
Armani_Screenshot 2023-12-15 230442 (26).png,100,159,armani_my_way_floral,5,4,91,156
Armani_Screenshot 2023-12-15 230442 (46).png,152,186,armani_my_way_floral,1,3,144,185
Armani_Screenshot 2023-12-15 230442 (48).png,133,176,armani_my_way_floral,21,7,119,165
Armani_Screenshot 2023-12-15 230442 (59).png,111,136,armani_my_way_floral,10,9,108,131
Armani_Screenshot 2023-12-15 230442 (6).png,308,568,armani_my_way_floral,5,11,304,560
armani_Screenshot 2023-12-15 232718.png,107,148,armani_my_way_floral,15,7,97,141
dior_missScreenshot 2023-12-16 002557 (11).png,528,564,dior_miss_dior,39,14,514,553
dior_missScreenshot 2023-12-16 002557 (12).png,145,151,dior_miss_dior,1,1,144,150
dior_missScreenshot 2023-12-16 002557 (13).png,171,171,dior_miss_dior,1,1,167,169
dior_missScreenshot 2023-12-16 002557 (14).png,153,156,dior_miss_dior,1,1,150,155
dior_missScreenshot 2023-12-16 002557 (17).png,317,352,dior_miss_dior,18,26,298,345
dior_missScreenshot 2023-12-16 002557 (18).png,184,200,dior_miss_dior,18,30,176,192
dior_missScreenshot 2023-12-16 002557 (19).png,309,350,dior_miss_dior,11,11,303,345
dior_missScreenshot 2023-12-16 002557 (2).png,137,152,dior_miss_dior,4,11,125,147
dior_missScreenshot 2023-12-16 002557 (20).png,318,444,dior_miss_dior,30,27,302,444
dior_missScreenshot 2023-12-16 002557 (21).png,356,399,dior_miss_dior,2,10,343,398
dior_missScreenshot 2023-12-16 002557 (22).png,134,128,dior_miss_dior,4,1,123,127
dior_missScreenshot 2023-12-16 002557 (27).png,74,63,dior_miss_dior,12,7,60,55
dior_missScreenshot 2023-12-16 002557 (28).png,158,190,dior_miss_dior,12,19,143,167
dior_missScreenshot 2023-12-16 002557 (29).png,124,161,dior_miss_dior,2,10,123,157
dior_missScreenshot 2023-12-16 002557 (3).png,295,298,dior_miss_dior,12,4,275,290
dior_missScreenshot 2023-12-16 002557 (30).png,55,55,dior_miss_dior,5,6,51,54
dior_missScreenshot 2023-12-16 002557 (31).png,87,66,dior_miss_dior,12,1,70,63
dior_missScreenshot 2023-12-16 002557 (4).png,206,211,dior_miss_dior,3,8,198,207
dior_Screenshot 2023-12-15 233822fwef (1).png,301,301,dior_miss_dior,18,18,272,299
dior_Screenshot 2023-12-15 233822fwef (13).png,382,449,dior_miss_dior,31,25,374,432
dior_Screenshot 2023-12-15 233822fwef (2).png,210,235,dior_miss_dior,22,39,198,232
dior_Screenshot 2023-12-15 233822fwef (4).png,199,214,dior_miss_dior,12,8,198,207
dior_Screenshot 2023-12-15 233822fwef (8).png,723,631,dior_miss_dior,82,1,698,615
lancome_le_belleScreenshot 2023-12-16 011452 (17).png,157,181,lancome_la_vie_est_belle,25,18,120,159
lancome_le_belleScreenshot 2023-12-16 011452 (2).png,395,479,lancome_la_vie_est_belle,14,6,372,474
lancome_le_belleScreenshot 2023-12-16 011452 (21) - Copy.png,155,190,lancome_la_vie_est_belle,16,13,147,188
lancome_le_belleScreenshot 2023-12-16 011452 (3) - Copy.png,395,479,lancome_la_vie_est_belle,13,2,352,470
lancome_le_belleScreenshot 2023-12-16 011452 (4).png,302,358,lancome_la_vie_est_belle,11,25,290,346
lancome_le_belleScreenshot 2023-12-16 011452 (5) - Copy.png,395,479,lancome_la_vie_est_belle,12,12,386,476
